Date,Price,Return
2015-09-08,2500.85,0.02750972
2015-09-09,2568.28,0.02660574
2015-09-10,2528.93,-0.015440126
2015-09-11,2524.88,-0.001602752
2015-09-14,2489.81,-0.013987135
2015-09-15,2431.34,-0.023763857
2015-09-16,2530.67,0.040041544
2015-09-17,2499.33,-0.012461394
2015-09-18,2505.52,0.002473602
2015-09-21,2521.23,0.00625058
2015-09-22,2523.54,0.0009158
2015-09-23,2465.04,-0.023454643
2015-09-24,2473.08,0.003256303
2015-09-25,2450.48,-0.009180414
2015-09-28,2453.63,0.001284637
2015-09-29,2404.98,-0.020026973
2015-09-30,2437.33,0.01336159
2015-10-01,2437.26,-2.87E-05
2015-10-02,2479.91,0.017347812
2015-10-05,2496.03,0.0064792
2015-10-06,2495.42,-0.000244418
2015-10-07,2530.85,0.014098163
2015-10-08,2562.02,0.012240795
2015-10-09,2591.83,0.01156818
2015-10-12,2660.3,0.026074708
2015-10-13,2649.55,-0.004049084
2015-10-14,2618.87,-0.011646887
2015-10-15,2681.6,0.023670704
2015-10-16,2706.9,0.009390437
2015-10-19,2710.81,0.001443415
2015-10-20,2725.69,0.005474124
2015-10-21,2668,-0.021392479
2015-10-22,2689.05,0.007858843
2015-10-23,2732.43,0.016003352
2015-10-26,2746.78,0.005237993
2015-10-27,2757.15,0.003768221
2015-10-28,2719.67,-0.013686988
2015-10-29,2717.69,-0.000728295
2015-10-30,2730.5,0.004702488
2015-11-02,2694.5,-0.013272084
2015-11-03,2695.27,0.000285726
2015-11-04,2788.35,0.033951638
2015-11-05,2810.94,0.008068924
2015-11-06,2836.91,0.009196485
2015-11-09,2841.01,0.001444191
2015-11-10,2823.75,-0.006093834
2015-11-11,2818.23,-0.00195676
2015-11-12,2822.9,0.001655697
2015-11-13,2769.74,-0.019011272
2015-11-16,2770.21,0.000169677
2015-11-17,2773.17,0.001067941
2015-11-18,2755.28,-0.006471999
2015-11-19,2798.3,0.015493019
2015-11-20,2817.58,0.006866271
